method,metric,n,minimum,mean,median,std,maximum
NSGA_II,front_size,20,45.0,46.7,47.0,0.7326950970650465,48.0
NSGA_II,balanced_score,20,0.21654778019031604,0.21931701316583313,0.21935464036617808,0.0006964062058305692,0.22015895376129768
NSGA_II,min_water,20,2.883709335877014,7.14229947791934,7.037571608468354,2.2831767502102784,12.422569619887765
NSGA_II,min_deficit,20,0.0,0.0,0.0,0.0,0.0
NSGA_II,min_excess,20,0.0,0.0,0.0,0.0,0.0
NSGA_II,seconds,20,0.06320606600002066,0.06737392854999484,0.06665166249996446,0.004973038892306246,0.08715858400000798
NSGA_II,evaluations,20,3072.0,3072.0,3072.0,0.0,3072.0
weighted_balanced,front_size,20,1.0,14.35,1.0,18.6103395144233,44.0
weighted_balanced,balanced_score,20,0.21508452380953016,0.2150871191433507,0.2150849831371674,4.4708800853358785e-06,0.21509846163991486
weighted_balanced,min_water,20,35.0772922224715,35.087284932071086,35.08870405376633,0.00376216197376607,35.09269323202765
weighted_balanced,min_deficit,20,1.7383067679723432,1.7453077320482173,1.7423755944930939,0.007348523094659055,1.7654155550569932
weighted_balanced,min_excess,20,0.0,0.0,0.0,0.0,0.0
weighted_balanced,seconds,20,0.012639014000001225,0.013802853600003573,0.013762433000010788,0.0009433472361693615,0.016799680999952216
weighted_balanced,evaluations,20,3072.0,3072.0,3072.0,0.0,3072.0
weighted_water,front_size,20,5.0,11.25,11.0,3.306691779757495,18.0
weighted_water,balanced_score,20,0.8010204352961271,0.801435778985186,0.8015108015618109,0.00015747625178583375,0.8015732192683678
weighted_water,min_water,20,0.0007560006128642769,0.006404676917437259,0.004929670846671195,0.006958341791892212,0.03041920217343752
weighted_water,min_deficit,20,224.19149861113644,224.3785408109291,224.40572784781665,0.06547569164770731,224.43640188588705
weighted_water,min_excess,20,0.0,0.0,0.0,0.0,0.0
weighted_water,seconds,20,0.012481637999940176,0.013598892299989984,0.013330268499998965,0.0009349401981725224,0.01590352300001996
weighted_water,evaluations,20,3072.0,3072.0,3072.0,0.0,3072.0
weighted_comfort,front_size,20,1.0,1.65,1.0,1.531253356602121,6.0
weighted_comfort,balanced_score,20,0.21922936889615893,0.21923901894134534,0.21923310893981118,1.1693483240862051e-05,0.2192669861852454
weighted_comfort,min_water,20,36.82983493638675,36.83207226787401,36.83116230188828,0.002041740703999689,36.836853679121226
weighted_comfort,min_deficit,20,0.0,2.368305625939371e-05,0.0,9.154532524465691e-05,0.0004075213608629724
weighted_comfort,min_excess,20,0.0,0.0,0.0,0.0,0.0
weighted_comfort,seconds,20,0.012715909999997166,0.013815479899994898,0.013791056499997012,0.0006682941400829761,0.015100565000011557
weighted_comfort,evaluations,20,3072.0,3072.0,3072.0,0.0,3072.0
